pmid,gene_id,gene_text,title,journal
20490504,101771638,PLDalpha1,Overexpression of a PLDalpha1 gene from Setaria italica enhances the sensitivity of Arabidopsis to abscisic acid and improves its drought tolerance.,Plant Cell Rep. 2010 Jul
20490504,835307,RD29A,Overexpression of a PLDalpha1 gene from Setaria italica enhances the sensitivity of Arabidopsis to abscisic acid and improves its drought tolerance.,Plant Cell Rep. 2010 Jul
20490504,835306,RD29B,Overexpression of a PLDalpha1 gene from Setaria italica enhances the sensitivity of Arabidopsis to abscisic acid and improves its drought tolerance.,Plant Cell Rep. 2010 Jul
20490504,840987,RAB18,Overexpression of a PLDalpha1 gene from Setaria italica enhances the sensitivity of Arabidopsis to abscisic acid and improves its drought tolerance.,Plant Cell Rep. 2010 Jul
20490504,832636,RD22,Overexpression of a PLDalpha1 gene from Setaria italica enhances the sensitivity of Arabidopsis to abscisic acid and improves its drought tolerance.,Plant Cell Rep. 2010 Jul
20490504,828714,ABI1,Overexpression of a PLDalpha1 gene from Setaria italica enhances the sensitivity of Arabidopsis to abscisic acid and improves its drought tolerance.,Plant Cell Rep. 2010 Jul
20490504,820667,NCED3,Overexpression of a PLDalpha1 gene from Setaria italica enhances the sensitivity of Arabidopsis to abscisic acid and improves its drought tolerance.,Plant Cell Rep. 2010 Jul
20633954,820667,AtNCED3,Arabidopsis lenc1 mutant displays reduced ABA accumulation by low AtNCED3 expression under osmotic stress.,J Plant Physiol. 2011 Jan 15
20656895,840476,AnnAt1,Arabidopsis annexins AnnAt1 and AnnAt4 interact with each other and regulate drought and salt stress responses.,Plant Cell Physiol. 2010 Sep
20656895,818457,AnnAt4,Arabidopsis annexins AnnAt1 and AnnAt4 interact with each other and regulate drought and salt stress responses.,Plant Cell Physiol. 2010 Sep
20656895,820667,AtNCED3,Arabidopsis annexins AnnAt1 and AnnAt4 interact with each other and regulate drought and salt stress responses.,Plant Cell Physiol. 2010 Sep
20656895,818566,P5CS1,Arabidopsis annexins AnnAt1 and AnnAt4 interact with each other and regulate drought and salt stress responses.,Plant Cell Physiol. 2010 Sep
20803085,829845,AP2,Overexpression of the ethylene-responsive factor gene BrERF4 from Brassica rapa increases tolerance to salt and drought in Arabidopsis plants.,Mol Cells. 2010 Sep
