Gene symbol,Gene name,Synonyms,Chromosome,NCBI Identifier,RAP Identifier,Oryzabase Trait Gene ID,MSU_Locus tag,NCBI_Locus tag,Reference,Reference_title,Description,PMID
OsNAC6 ,NAC domain-containing protein 6,"ONAC048, OsSNAC2, OsNAC2",1,4325006,Os01g0884300,2263,LOC_Os01g66120,OSNPB_010884300,"Lee, Dong‐Keun, et al. 2017",The rice Os NAC 6 transcription factor orchestrates multiple molecular mechanisms involving root structural adaptions and nicotianamine biosynthesis for drought tolerance.,"OsNAC6 root-specific overexpressing transgenic rice lines was less affected by drought stress than were nontransgenic controls. OsNAC6 up-regulates the expression of direct target genes involved in membrane modification, nicotianamine (NA) biosynthesis, glutathione relocation, 3'-phophoadenosine 5'-phosphosulphate accumulation and glycosylation, which represent multiple drought tolerance pathways. ",27892643
OsDT11 ,Drought tolerance 11,-,11,-,Os11g0211800,21537,LOC_Os11g10590,-,"Li, Xiaoming, et al. 2017","Overexpression of OsDT11, which encodes a novel cysteine-rich peptide, enhances drought tolerance and increases ABA concentration in rice.","OsDT11-overexpression lines displayed dramatically enhanced tolerance to drought and had reduced water loss, reduced stomatal density, and an increased the concentration of abscisic acid (ABA). The suppression of OsDT11 expression resulted in an increased sensitivity to drought compared to wild-type expression. ",27718117
OsAKT1,salt-sensitive K1 uptake channel OsAKT1 K+ channel alpha subunit,-,1,4326245,Os01g0648000,10369,LOC_Os01g45990,OSNPB_010648000,"Ahmad, Izhar, Afaq Mian, and Frans JM Maathuis. 2016",Overexpression of the rice AKT1 potassium channel affects potassium nutrition and rice drought tolerance.,"AKT1 overexpression improved rice osmotic and drought stress tolerance by increasing tissue levels of K(+), especially in the root.",26969743
OsMSR15 ,Multi-stress-responsive gene 15,ZFP31,3,4333432,Os03g0610400,25728,LOC_Os03g41390,OSNPB_030610400,"Zhang, Xin, et al. 2016",OsMSR15 encoding a rice C2H2-type zinc finger protein confers enhanced drought tolerance in transgenic Arabidopsis.,"Expression of OsMSR15 in Arabidopsis conferred drought tolerance, and transgenic plants showed hypersensitivity to exogenous ABA during the seed germination and post-germination stages. Transgenic plants also showed higher levels of free proline, less electrolyte leakage and increased expressions of a number of stress-responsive genes, including LEA3, RD29A, DREB1A and P5CS1 under drought stress.",-
OsPYL9,Pyrabactin resistance-like 9,"OsPYL/RCAR9, OsPYL2, PYRABACTIN RESISTANCE 1 LIKE/REGULATORY COMPONENTS OF ABA RECEPTOR 9",6,4341308,Os06g0562200,17876,LOC_Os06g36670,OSNPB_060562200,"Zhao, Yang, et al. 2016",ABA receptor PYL9 promotes drought resistance and leaf senescence.,PYL9 transgenic lines showed dramatically increased drought resistance and drought-induced leaf senescence in both Arabidopsis and rice.,26831097
OsERF109,ethylene response factor 109,"ERF117, AP2/EREBP63, APETALA2/ethylene-responsive element binding protein 63",9,4346686,Os09g0309700,10605,LOC_Os09g13940,OSNPB_090309700,"Yu, Yanwen, et al. 2017",The ethylene response factor OsERF109 negatively affects ethylene biosynthesis and drought tolerance in rice.,"Transgenic plants overexpressing (OE) and knockdown with RNA interfering (RI) OsERF109 exhibited significantly reduced and improved drought resistance, respectively, indicating that OsERF109 negatively regulates drought resistance in rice.",27040682
OsPDIL1-5,protein disulfide isomerase-like 1-5,"OsPDIL3-1, OsTrx21, Thioredoxin 21",6,4340223,Os06g0163400,11899,LOC_Os06g06790,OSNPB_060163400,"Chen J, Zhang J, Fang C, Ren L, Lan T, Wu W and Lan T (2024).",OsPDIL1-5: dual role in promoting growth and development while modulating drought stress tolerance in rice (Oryza sativa L.).,"OsPDIL1-5 acts as a negative regulator of drought tolerance. The loss of OsPDIL1-5 function inhibits plant growth, reduces stomatal density, size and aperture, boosts ROS scavenging system activity, and ultimately enhances drought tolerance.",-
OsCDPK7,calcium dependent protein kinase 7,"OsCPK7, CDPK1, OsCDPK11, CDPK12, OsCDPK13",3,4331490,Os03g0128700,3030,LOC_Os03g03660,OSNPB_030128700,"Saijo, Yusuke, et al. 2000",Over‐expression of a single Ca2+‐dependent protein kinase confers both cold and salt/drought tolerance on rice plants.,Over-expression of OsCDPK7 enhanced induction of some stress-responsive genes in response to salinity/drought.,10929125
OsCDPK9,calcium dependent protein kinase 9,-,3,4333767,Os03g0688300,8062,LOC_Os03g48270,OSNPB_030688300,"Wei, Shuya, et al. 2014",A rice calcium-dependent protein kinase OsCPK9 positively regulates drought stress tolerance and spikelet fertility.,"The results of OsCPK9 overexpression (OsCPK9-OX) and OsCPK9 RNA interference (OsCPK9-RNAi) analyses revealed that OsCPK9 plays a positive role in drought stress tolerance and spikelet fertility. OsCPK9 plays a positive role in drought, osmotic, and dehydration stress responses. OsCPK9 confers tolerance to drought stress by improving osmotic adjustment and stomatal movement.",24884869
OsMYB48-1,MYB transcription factor 48,"OsMYB48-2, OsMYB59, Os2R_MYB19, R2R3-MYB Transcription Factor 19",1,4324302,Os01g0975300,15529,LOC_Os01g74410,OSNPB_010975300,"Xiong, Haiyan, et al. 2014","Overexpression of OsMYB48-1, a novel MYB-related transcription factor, enhances drought and salinity tolerance in rice.","Overexpression of OsMYB48-1 could regulate the expression of some ABA biosynthesis genes (OsNCED4, OsNCED5), early signaling genes (OsPP2C68, OSRK1) and late responsive genes (RAB21, OsLEA3, RAB16C and RAB16D) under drought stress conditions.  the overexpression lines exhibited reduced rate of water loss, lower malondialdehyde (MDA) content and higher proline content under stress conditions. Moreover, overexpression plants were hypersensitive to ABA at both germination and post-germination stages and accumulated more endogenous ABA under drought stress conditions.",24667379
OsGL1-6,Glossy1-homologous gene 6,very-long-chain aldehyde decarbonylase GL1-6-like,2,4331117,Os02g0814200,14982,LOC_Os02g56920,OSNPB_020814200,"Zhou, Lingyan, et al. 2013",Rice OsGL1-6 is involved in leaf cuticular wax accumulation and drought resistance.,"OsGL1-6 antisense-RNA transgenic plants showed droopy leaves at the booting stage, significantly decreased leaf cuticular wax deposition, thinner cuticle membrane, increased chlorophyll leaching and water loss rates, and enhanced drought sensitivity.",23741473
OsGL1-2,Glossy1-homologous gene 2,OsWAX2,2,4328496,Os02g0178800,15280,LOC_Os02g08230,OSNPB_020178800,"Islam, Mohammad Asadul, et al. 2009",Characterization of Glossy1-homologous genes in rice involved in leaf wax accumulation and drought resistance.,OsGL1-2 overexpression resulted in increased amounts of cuticular waxes and enhanced drought tolerance,19322663
OsCPK10 ,calcium dependent protein kinase 10,-,3,-,Os03g0788500,8063,LOC_Os03g57450,-,"Bundó, Mireia, and María Coca. 2017",Calcium-dependent protein kinase OsCPK10 mediates both drought tolerance and blast disease resistance in rice plants.,OsCPK10 protein enhances the hydrogen peroxide detoxifying capacity of rice plants during desiccation. OsCPK10HA expression improves drought tolerance in rice plants.,28472292
OsBBP1,OsbZIP72 binding protein 1 (BBP1),protein ROLLING AND ERECT LEAF 2-like,3,4332679,Os03g0321500 ,-,LOC_Os03g20530,OSNPB_030321500,"Yu, Xiangzhen et al. 2024","OsBBP1, a newly identified protein containing DUF630 and DUF632 domains confers drought tolerance in rice.","OsBBP1 might confer drought resistance by inducing more efficient reactive oxygen species (ROS) scavenging. OsBBP1, acting downstream of OsbZIP72, contributes to drought resistance and causes less yield or yield-related losses under drought conditions.",38759757
OsJAZ10,Jasmonate ZIM-domain protein 10,"OsJAZ4, OsTIFY11B",3,4331834,Os03g0181100,9490,LOC_Os03g08330,OSNPB_030181100,"Wu, Yuanyuan et al. 2024",OsJAZ10 negatively modulates the drought tolerance by integrating hormone signaling with systemic electrical activity in rice.,"OsJAZ10 negatively modulates rice drought stress tolerance. OsJAZ10 interacts with OsMYC2, and inhibits OsMYC2 transcriptional activation of ABA- and JA-biosynthetic genes. OsJAZ10 inhibits osmotic stress-elicited electrical signal transmission, which is in parallel to the hormone response.",38714129
OsMYC2,Myelocytomatosis oncogene transcription factor 2,OsbHLH009,10,4349484,Os10g0575000,15303,LOC_Os10g42430,OSNPB_100575000,"Wu, Yuanyuan et al. 2024",OsJAZ10 negatively modulates the drought tolerance by integrating hormone signaling with systemic electrical activity in rice.,"OsMYC2 transcriptionally activates the expression of ABA-biosynthetic gene OsNCED2, JA-biosynthetic gene OsAOC, and drought-responsive genes OsRAB21 and OsLEA3, while OsJAZ10 prevents OsMYC2 transactivation of these genes. ",38714129
OsEm1 ,embryonic abundant protein 1-like,"OsLEA21, late embryogenesis abundant protein 21, ABA regulated gene",5,4338499,Os05g0349800,644,LOC_Os05g28210,OSNPB_050349800,"Yu, Jing et al. 2016",Overexpression of OsEm1 encoding a group I LEA protein confers enhanced drought tolerance in rice.,"OsEm1 is a positive regulator of drought tolerance. Overexpression of OsEm1 increases ABA sensitivity and enhances osmotic tolerance in rice. Compared with wild type, the OsEm1-overexpressing rice plants showed enhanced plant survival ratio at the vegetative stage. Overexpression of OsEm1 increases the expression of LEA genes against drought.",27524243
ONAC022,NAC domain-containing protein 22,-,3,4331520,Os03g0133000,11470,LOC_Os03g04070,OSNPB_030133000,"Hong, Yongbo et al. 2016",Overexpression of a Stress-Responsive NAC Transcription Factor Gene ONAC022 Improves Drought and Salt Tolerance in Rice.,ONAC022 functions as a stress-responsive NAC with transcriptional activator activity and plays a positive role in drought and salt stress tolerance through modulating an ABA-mediated pathway.,26834774
OsWRKY12 ,WRKY transcription factor 12,OsWRKY03,1,4326683,Os01g0624700,6523,LOC_Os01g43550,OSNPB_010624700,"Jia, Shuzhen et al. 2024",OsWRKY12 negatively regulates the drought-stress tolerance and secondary cell wall biosynthesis by targeting different downstream transcription factor genes in rice.,Over-expression of OsWRKY12 decreased the drought tolerance of the rice transgenics at the germination stage and the seedling stage. OsWRKY12 negatively regulates the drought-stress response by affecting the ABA biosynthesis and signaling pathway. Rice seedlings over-expressing OsWRKY12 showed decreased secondary cell wall (SCW) biosynthesis. OsWRKY12 mediates the crosstalk of the drought-stress response and SCW biosynthesis by targeting to different transcription factor genes.,38850730
OsWRKY11,WRKY transcription factor 11,"WRKY16, WRKY71",1,4326690,Os01g0626400,6522,LOC_Os01g43650,OSNPB_010626400,"Lee, Heyoung et al. 2018",Rice WRKY11 Plays a Role in Pathogen Defense and Drought Tolerance.,"OsWRKY11 positively regulates drought-responsive genes, including several dehydrin genes. OsWRKY11 is a positive regulator of plant defense responses to drought and pathogens. OsWRKY11 is induced by heat and drought stresses, and over-expression of OsWRKY11 under the control of the HSP101 promoter enhances drought tolerance. OsWRKY11 also bound directly to the promoter of a drought-responsive gene, RAB21, activating its transcription. ",29330772
OsGRX9,Glutaredoxin 9,"Glutaredoxin-C4 chloroplastic-like, Glutaredoxin-C2 homolog 2",2,4329999,Os02g0618100,13585,LOC_Os02g40500,OSNPB_020618100,"Kumar, Anil et al. 2020",Overexpression of rice glutaredoxin genes LOC_Os02g40500 and LOC_Os01g27140 regulate plant responses to drought stress.,Over-expression of Osgrx genes enhanced drought tolerance in Arabidopsis. The H2O2 level was found to be reduced in all transgenic lines of both Osgrxs LOC_Os02g40500 and LOC_Os01g27140 as compared to treated control plants. Over-expression of Osgrxs enhanced plant growth during drought conditions. Drought tolerance was found in transgenic plantlets of both Osgrx genes after 10 days of drought as compared to retarded growth in treated control plants. Osgrxs enhanced the RWC and reduced the stress markers. Each glutaredoxin gene was over-expressed in Arabidopsis thaliana to reveal their role in drought stress.,32464438
OsGRX4,Glutaredoxin 4,Glutaredoxin-C1-like,1,4325734,Os01g0368900,13566,LOC_Os01g27140,OSNPB_010368900,"Kumar, Anil et al. 2020",Overexpression of rice glutaredoxin genes LOC_Os02g40500 and LOC_Os01g27140 regulate plant responses to drought stress.,"LOC_Os02g40500 and LOC_Os01g27140 reduced the ROS generated under drought stress. Osgrxs enhanced the level of the antioxidant molecules, antioxidant enzymes, and stress responsible amino acids. Osgrxs enhanced the various physiological parameters against drought stress and protected the plant from damage. Each glutaredoxin gene was over-expressed in Arabidopsis thaliana to reveal their role in drought stress.",32464438
OsWIH2 ,Windhose 2,Cysteine-rich and transmembrane domain-containing protein WIH,3,4333176,Os03g0431100,24383,LOC_Os03g31679,OSNPB_030431100,"Gu, Xiangyang et al. 2021",The bHLH transcription factor regulated gene OsWIH2 is a positive regulator of drought tolerance in rice.,"Overexpression of OsWIH2 in rice resulted in significantly higher drought tolerance, due to the decreased water loss rate and reactive oxygen species (ROS) accumulation under drought stress. Drought stress may induce OsbHLH130 accumulation, which in turn activates OsWIH2 expression, and the latter improves rice drought tolerance by participating in cuticular wax biosynthesis and reducing the water loss rate as well as ROS accumulation. OsWIH2 interacted with a long-chain fatty acids HOTHEAD (HTH).",34823144
OsMT1a ,Metallothionein I-1A,-,11,4351213,Os11g0704500,11117,LOC_Os11g47809,OSNPB_110704500,"Yang, Zhao et al. 2009","OsMT1a, a type 1 metallothionein, plays the pivotal role in zinc homeostasis and drought tolerance in rice.","Transgenic rice plants overexpressing OsMT1a demonstrated enhanced tolerance to drought. The examination of antioxidant enzyme activities demonstrated that catalase (CAT), peroxidase (POD) and ascorbate peroxidase (APX) were significantly elevated in transgenic plants. ",19229638
OsMT2b,Metallothionein 2B,metallothionein-like protein 2C,5,4337596,Os05g0111300,6226,LOC_Os05g02070,OSNPB_050111300,"Chen, Yanxin et al. 2024",Involvement of the Metallothionein gene OsMT2b in Drought and Cadmium Ions Stress in Rice.,Overexpression of OsMT2b positively regulates drought tolerance in rice. OsMT2b-overexpression lines exhibited enhanced drought tolerance and better physiological performance in terms of relative water content and electrolyte leakage compared with wild-type (WT).  OsMT2b influenced the expression of genes involved in ROS scavenging to enhance drought tolerance in rice.,39294464
OsADR3 , abscisic acid (ABA)-drought-reactive oxygen species (ROS) 3,"OsWZF1, OsDLN99, OsZFP1",3,4334213,Os03g0764100,16038,LOC_Os03g55540,OSNPB_030764100,"Li, Jiaming, et al. 2021",OsADR3 increases drought stress tolerance by inducing antioxidant defense mechanisms and regulating OsGPX1 in rice (Oryza sativa L.).,"Overexpression of abscisic acid (ABA)-drought-reactive oxygen species 3 (OsADR3) in rice enhances sensitivity to exogenous ABA and increases the activities of various antioxidant enzymes, including catalase (CAT), glutathione peroxidase, and ascorbate peroxidase (APX), thus improving ROS scavenging capacity to positively regulate drought tolerance",-
OsMIOX ,Myo-inositol oxygenase,Probable inositol oxygenase,6,4341305,Os06g0561000,12129,LOC_Os06g36560,OSNPB_060561000,"Duan, Junzhi et al. 2012","OsMIOX, a myo-inositol oxygenase gene, improves drought tolerance through scavenging of reactive oxygen species in rice (Oryza sativa L.).","OsMIOX was induced by drought, H2O2, salt, cold and abscisic acid. OsMIOX has a specific function in drought stress tolerance by decreasing oxidative damage. Overexpression of OsMIOX increased the ROS-scavenging ability in rice. Overexpression of OsMIOX improves rice tolerance to drought stress.",23017909
OsGSTU30 ,Tau glutathione S-transferase 30,-,10,4349193,Os10g0529500,9547,LOC_Os10g38600,OSNPB_100529400,"Srivastava, Dipali, et al. 2019",Rice (Oryza sativa L.) tau class glutathione S-transferase (OsGSTU30) overexpression in Arabidopsis thaliana modulates a regulatory network leading to heavy metal and drought stress tolerance.,"Overexpression of OsGSTU30 increased drought tolerance, as reflected in germination, root growth assay, and whole plant growth.",30516767
OsHOX4 ,Homeobox 4,"OsHDZIP31, homeodomain-leucine zipper transcription factor 31",9,4347333,Os09g0470500,6155,LOC_Os09g29460,OSNPB_090470500,"Zhou, W. Q., et al. 2020",Over-expression of oshox4 enhances drought and salinity tolerance in rice.,Oshox4 transgenic rice plants are more tolerant to drought and salinity stress and that Oshox4 plays a role in rice osmatic tolerance.,-
OsDCA1,DST Co-activator 1 ,"OsRING161, RING-type E3 ubiquitin ligase 161, E3 ubiquitin-protein ligase RZFP34",10,4348796,Os10g0456800,22358,LOC_Os10g31850,OSNPB_100456800,"Cui, Long-Gang et al. 2015",DCA1 Acts as a Transcriptional Co-activator of DST and Contributes to Drought and Salt Tolerance in Rice.,"Downregulation of DCA1 significantly enhanced drought and salt tolerance in rice, and overexpression of DCA1 increased sensitivity to stress treatment. Our findings establish a framework for plant drought and salt stress tolerance through the DCA1-DST (Drought and salt tolerance)-Prx24 (Peroxidase 24) pathway.",26496194
ZFP252,Zinc Finger Protein 252,"RZF71, OsDLN263",12,4352653,Os12g0583700,8646,LOC_Os12g39400,OSNPB_120583700,"Xu, Dong-Qing et al. 2008",Overexpression of a TFIIIA-type zinc finger protein gene ZFP252 enhances drought and salt tolerance in rice (Oryza sativa L.).,"Overexpression of ZFP252 in rice increased the amount of free proline and soluble sugars, elevated the expression of stress defense genes and enhanced rice tolerance to salt and drought stresses, as compared with ZFP252 antisense and non-transgenic plants.",18325341
OsWRKY45 ,WRKY transcription factor 45,-,5,4338413,Os05g0322900,6559,LOC_Os05g25770,OSNPB_050322900,"Tao, Zeng, et al. 2011",OsWRKY45 alleles play different roles in abscisic acid signalling and salt stress tolerance but similar roles in drought and cold tolerance in rice.,Overexpression of a stress-induced OsWRKY45 significantly confers drought tolerance in Arabidopsis and rice.,21725029
OsABAR1,ABA-responsive protein-like protein 1,"GEM-like protein 7, Glucosyltransferases-like GTPase activators and Myotubularin (GRAM) domain-containing protein",4,4336456,Os04g0526800,23728,LOC_Os04g44500,OSNPB_040526800,"Zheng, Chongke et al. 2020","OsABAR1, a novel GRAM domain-containing protein, confers drought and salt tolerance via an ABA-dependent pathway in rice.",OsABAR1 expression is up-regulated by salt and drought. OsABAR1 positively regulates tolerance to drought and high salinity in rice. OsABAR1 acts as a positive regulator of ABA responses in rice.,32416343
OsbZIP72,b-ZIP transcription factor 72,"OsAREB2, OsABF4, OsABI5",9,4347257,Os09g0456200,10152,LOC_Os09g28310,OSNPB_090456200,"Lu, Guojun et al. 2009",Identification of OsbZIP72 as a positive regulator of ABA response and drought tolerance in rice.,"Transgenic rice overexpressing OsbZIP72 showed a hypersensitivity to ABA, elevated levels of expression of ABA response gene such as LEAs, and an enhanced ability of drought tolerance. ",19048288
OsMYBR1,MYB-related transcription factor 1,-,4,4336779,Os04g0583900,19098,LOC_Os04g49450,OSNPB_040583900,"Yin, Xuming et al. 2017","Overexpression of a novel MYB-related transcription factor, OsMYBR1, confers improved drought tolerance and decreased ABA sensitivity in rice.","OsMYBR1 is involved in the ABA-dependent signaling transduction pathways mediating plant responses to ABA and drought. Compared with wild-type (WT) plants, transgenic plants over-expressing OsMYBR1 exhibited much greater tolerance to drought stress and decreased sensitivity to abscisic acid (ABA). Overexpression of OsMYBR1 enhances tolerance to dehydration stress",28690154
OsMYB2,Transcription factor MYB2,Os2R_MYB36,3,4332651,Os03g0315400,9969,LOC_Os3g20090,OSNPB_030315400,"Yang, An et al. 2012","A R2R3-type MYB gene, OsMYB2, is involved in salt, cold, and dehydration tolerance in rice.","OsMYB2-overexpressing plants were more tolerant to salt, cold, and dehydration stresses and more sensitive to abscisic acid than wild-type plants. verexpression of OsMYB2 enhanced up-regulation of genes encoding proline synthase and transporters. The OsMYB2-overexpressing plants accumulated less amounts of H2O2 and malondialdehyde. ",22301384
OsNAP,No apical meristem (NAM) protein,ONAC058,3,4332717,Os03g0327800,15000,LOC_Os03g21060,OSNPB_030327800,"Chen, Xu et al. 2014",The NAC family transcription factor OsNAP confers abiotic stress response through the ABA pathway.,"Rice plants overexpressing OsNAP did not show growth retardation, but showed a significantly reduced rate of water loss, enhanced tolerance to high salinity, drought and low temperature at the vegetative stage, and improved yield under drought stress at the flowering stage. plants overexpressing OsNAP revealed that many stress-related genes were up-regulated, including OsPP2C06/OsABI2, OsPP2C09, OsPP2C68 and OsSalT.",24399239
OsNAC10,NAC domain-containing protein 10,"ONAC122, OsSNAC10",11,4349648,Os11g0126900,8952,LOC_Os11g03300,OSNPB_110126900,"Jeong, Jin Seo et al. 2010",Root-specific expression of OsNAC10 improves drought tolerance and grain yield in rice under field drought conditions.,"Overexpression of OsNAC10 enhanced the tolerance of rice to drought stress at the vegetative stage, and specific overexpression of OsNAC10 in rice roots increased yields under normal and drought conditions",20335401
OsWRKY30,WRKY transcription factor 30,-,8,4345940,Os08g0499300,6543,LOC_Os08g38990,OSNPB_080499300,"Shen, Huaishun et al. 2012",OsWRKY30 is activated by MAP kinases to confer drought tolerance in rice.,Overexpression of OsWRKY30 in rice dramatically increased drought tolerance. OsWRKY30 could be phosphorylated by OsMPK3/7/14 which was indispensable for the improved drought tolerance of the OsWRKY30- overexpressors,22875749
OsWRKY47,WRKY transcription factor 47,-,7,4344296,Os07g0680400,6561,LOC_Os07g48260,OSNPB_070680400,"Raineri, Jesica et al. 2015",The rice transcription factor OsWRKY47 is a positive regulator of the response to water deficit stress.,OsWRKY47 expression is induced in water stressed plants. OsWRKY47 overexpressors display higher yield than controls under drought stress. ,25957211
OsbZIP42 ,b-ZIP transcription factor 42,"OsABF7, OsDLN149, HBF1, Hd3a BINDING REPRESSOR FACTOR1",5,4339158,Os05g0489700,10127,LOC_Os05g41070,OSNPB_050489700,"Joo, Joungsu et al. 2019",OsbZIP42 is a positive regulator of ABA signaling and confers drought tolerance to rice.,Transgenic rice overexpressing OsbZIP42 (OsbZIP42-OX) exhibited a rapidly elevated expression of the ABA-responsive LEA3 and Rab16 genes and was hypersensitive to ABA. Analyses of the OsbZIP42-OX plants revealed enhanced tolerance to drought stress. ,30712129
OsbZIP66,b-ZIP transcription factor 66,"OsABF5, OsTRAB1, transcription factor responsible for ABA regulation 1",8,-,Os08g0472000,9819,LOC_Os08g36790,OSNPB_080472000,"Yoon, Suin, et al. 2017",Overexpression of the OsbZIP66 transcription factor enhances drought tolerance of rice plants.,"Overexpression of OsbZIP66 both in a whole plant body and specifically in roots enhanced drought tolerance of rice plants, indicating that the rice drought tolerance positively correlates with the expression levels of OsbZIP66. ",-
OsbZIP62,b-ZIP transcription factor 62,"OsABF8, OsEEL, Enhanced Em Level",7,4344334,Os07g0686100,10143,LOC_Os07g48660,OSNPB_070686100,"Lee, Y. H., & Song, S. I. (2023)",OsbZIP62 positively regulates drought and salt stress tolerance and ABA signaling in rice.,"The overexpression of rice OsbZIP62 gene increased the drought stress tolerance in rice. OsbZIP62 can interact with Stress-/ABA-activated protein kinases1, 2, 4, and 6, which have been known to phosphorylate OsbZIPs in rice. The transgenic rice overexpressed the OsbZIP62 gene exhibited an increase of drought and high-salinity stress tolerance. ",-
OsWRKY5,WRKY transcription factor 5,-,5,107276141,Os05g0137500,6564,LOC_Os05g04640,OSNPB_050137500,"Lim, Chaemyeong et al. 2022",Inactivating transcription factor OsWRKY5 enhances drought tolerance through abscisic acid signaling pathways.,OsWRKY5 negatively regulates drought tolerance by directly binding to the promoter of OsMYB2 and hereby inhibiting its expression,34718775
OsIAA18 ,Indole-3-acetic acid inducible 18,-,5,4339365,Os05g0523300,10907,LOC_Os05g44810,OSNPB_050523300,"Wang, Feibing et al. 2021","OsIAA18, an Aux/IAA Transcription Factor Gene, Is Involved in Salt and Drought Tolerance in Rice.",OsIAA18 overexpression in rice plants significantly improves salt and drought tolerance by upregulating ABA-regulated gene expression levels and improving ROS scavenging capacity.,34868122
OsIAA6,Indole-3-acetic acid inducible 6,-,1,4326541,Os01g0741900,10897,LOC_Os01g53880,OSNPB_010741900,"Jung, Harin et al. 2015","OsIAA6, a member of the rice Aux/IAA gene family, is involved in drought tolerance and tiller outgrowth.","OsIAA6 overexpressed transgenic rice improved drought tolerance, likely via the regulation of auxin biosynthesis genes. OsIAA6 is highly induced by drought stress. OsIAA6 was specifically expressed in the axillary meristem of the basal stem, which is the tissue that gives rise to tillers.",26025543
OsSAP1,Stress-associated protein 1,A20/AN1 zinc-finger protein,9,4347423,Os09g0486500,6181,LOC_Os09g31200,OSNPB_090486500,"Mukhopadhyay, Arnab et al. 2004","Overexpression of a zinc-finger protein gene from rice confers tolerance to cold, dehydration, and salt stress in transgenic tobacco.","OSISAP1 overexpression in tobacco confers enhanced tolerance to cold, drought, and salt stress.",15079051
OsPYL10 ,pyrabactin resistance 1-like 10,"OsPYL3, OsRCAR1, REGULATORY COMPONENTS OF ABA RECEPTOR 3",2,4328916,Os02g0255500,17871,LOC_Os02g15640,OSNPB_020255500,"Verma, Rakesh Kumar et al. 2019",Overexpression of ABA Receptor PYL10 Gene Confers Drought and Cold Tolerance to Indica Rice.,"Overexpression of rice ABA receptor gene PYL10 resulted in higher ABA levels in plants due to upregulated expression of genes for ABA biosynthesis including ZEP1, NCED1, NCED2, NCED3, and NCED4, enhancing yield formation of the drought-challenged plants through maintaining higher RWC, membrane stability index, chlorophyll content, and accumulated lower amount of MDA and H2O2 compared with WT plants ",31850010
OsSDIR1,E3 ligase salt-and drought-induced RING-finger 1,OsRING198,3,4332396,Os03g0272300,9293,LOC_Os03g16570,OSNPB_030272300,"Gao, Ting et al. 2011",OsSDIR1 overexpression greatly improves drought tolerance in transgenic rice.,"The expression of OsSDIR1 was detected in all tissues of rice and up-regulated by drought and NaCl, but not by ABA. Upon drought treatment, the OsSDIR1-transgenic rice showed strong drought tolerance compared to control plants.",21499841
OsDHSRP1,"Drought-, Heat-, and Salt-Induced RING Finger Protein 1",OsRING229,2,4328312,Os02g0150700,21083,LOC_Os02g05692,OSNPB_020150700,"Kim, Ju Hee et al. 2020","Oryza sativa drought-, heat-, and salt-induced RING finger protein 1 (OsDHSRP1) negatively regulates abiotic stress-responsive gene expression.","The Arabidopsis plants overexpressing OsDHSRP1 exhibited hypersensitivity to drought, heat, and NaCl stress and a decrease in their germination rates and root lengths compared to the control plants. However, the OsDHSRP1-overexpressing plants showed no significant difference when treated with ABA. OsDHSRP1 E3 ligase acts as a negative regulator.",32206999
OsRDCP1,RING domain-containing protein 1,"OsRING320, OsREIW1, RING-finger E3 ubiquitin ligases interacting with WRKY 1",4,4336483,Os04g0530500,9449,LOC_Os04g44820,OSNPB_040530500,"Bae, Hansol et al. 2011","Overexpression of OsRDCP1, a rice RING domain-containing E3 ubiquitin ligase, increased tolerance to drought stress in rice (Oryza sativa L.).",OsRDCP1 was induced by drought stress. OsRDCP1-overexpressing T2 transgenic rice plants exhibited markedly improved tolerance to severe water deficits.,21497713
OsSAP10,Stress-associated protein 10,-,7,107275919,Os07g0169500,18186,LOC_Os07g07400,OSNPB_070169500,"Vashisth, Vishal et al. 2024","Rice A20/AN1 protein, OsSAP10, confers water-deficit stress tolerance via proteasome pathway and positive regulation of ABA signaling in Arabidopsis.","Overexpression of OsRDCP1 increased tolerance to drought stress in transgenic rice plants. OsSAP10 transgenics showed improved tolerance to water-deficit stress at seed germination, seedling and mature plant stages. Heterologous expression of OsSAP10 in Arabidopsis enhances tolerance to water-deficit stress",39138747
OsPUB67,Plant U-box-containing protein 67,U-box domain-containing protein 36,10,4349328,Os10g0552400,17858,LOC_Os10g40490,OSNPB_100552400,"Qin, Qiao et al. 2020",A U-box E3 ubiquitin ligase OsPUB67 is positively involved in drought tolerance in rice.,Over-expression of OsPUB67 improved drought stress tolerance by enhancing the reactive oxygen scavenging ability and stomatal closure.,31768809
OsNAC15,NAC domain-containing protein 15,"NAC domain-containing protein 69, NAC domain-containing protein 87",7,4344324,Os07g0684800,11465,LOC_Os07g48550,OSNPB_070684800,"Ao, Chuan-Wei et al. 2024",OsNAC15 regulates drought and salt tolerance in rice.,OsNAC15 positively regulates drought and salt tolerance and directly participates in the biosynthesis of abscisic acid (ABA).,39687697
ONAC066 ,NAC domain-containing protein 066,transcription factor JUNGBRUNNEN 1,3,4334294,Os03g0777000,11494,LOC_Os03g56580,OSNPB_030777000,"Yuan, Xi et al. 2019",Rice NAC transcription factor ONAC066 functions as a positive regulator of drought and oxidative stress response.,"Expression of ONAC066 was significantly induced by PEG, NaCl, H2O2 and abscisic acid (ABA). Overexpression of ONAC066 in transgenic rice improved drought and oxidative stress tolerance and increased ABA sensitivity, accompanied with decreased rate of water loss, increased contents of proline and soluble sugars, decreased accumulation of reactive oxygen species (ROS) and upregulated expression of stress-related genes under drought stress condition. ",31238869
