Gene symbol,Gene name,Synonyms,Chromosome,TAIR Identifier,TAIR Accession,NCBI Identifier,UniProt,Reference,Reference_title,Description,PMID
ABF3,ABA responsive element (ABRE) binding bZIP factor,,4,AT4G34000,-,-,-,"Kang et al., 2002",Arabidopsis basic leucine zipper proteins that mediate stress-responsive abscisic acid signaling,overexpression: enhanced drought tolerance,11884679
ABF4,ABA responsive element (ABRE) binding bZIP factor,,3,AT3G19290,-,-,-,"Kang et al., 2002",Arabidopsis basic leucine zipper proteins that mediate stress-responsive abscisic acid signaling,overexpression: enhanced drought tolerance,11884679
AREB1,"bZIP TF, ABRE binding",,1,AT1G45249,-,-,-,"Furihata et al., 2006",Abscisic acid-dependent multisite phosphorylation regulates the activity of a transcription activator AREB1,needs ABA-dependent phosphorylation for activation; phosphomimicking variant overexpressed: expression of ABA-inducible genes w/o ABA treatment,16446457
MYC2,transcriptional activator of ABA signaling,,1,AT1G32640,-,-,-,"Abe et al., 2003",Arabidopsis AtMYC2 (bHLH) and AtMYB2 (MYB) function as transcriptional activators in abscisic acid signaling,overexpressor: improved stress tolerance,12509522
MYB2,transcriptional activator of ABA signaling,,2,AT2G47190,-,-,-,"Abe et al., 2003",Arabidopsis AtMYC2 (bHLH) and AtMYB2 (MYB) function as transcriptional activators in abscisic acid signaling,overexpressor: improved stress tolerance,12509522
MYB60,R2R3-MYB,,1,AT1G08810,-,-,-,"Cominelli et al., 2005",A guard-cell-specific MYB transcription factor regulates stomatal movements and plant drought tolerance,expression downregulated under dehydration; guard cell-specifically expressed; knockout: water loss under drought is limited; enhanced drought tolerance,16005291
MYB61,R2R3-MYB,,1,AT1G09540,-,-,-,"Liang et al., 2005","AtMYB61, an R2R3-MYB transcription factor controlling stomatal aperture in Arabidopsis thaliana",specifically expressed guard cells; overexpression: decreased stomatal aperture,16005292
HARDY,AP2/ERF-like transcription factor,,2,AT2G36450,-,-,-,"Karaba et al., 2007","Improvement of water use efficiency in rice by expression of HARDY, an Arabidopsis drought and salt tolerance gene","AT gain-of-function: roots with enhanced strength, branching and cortical cells, drought resistance; overexpression in rice: drought tolerance",17881564
ADAP,"ARIA-interacting, AP2 domain",,1,AT1G16060,-,-,-,"Lee et al., 2009",An ARIA-interacting AP2 domain protein is a novel component of ABA signaling,pos. Regulator of ABA; ko seedlings: more sensitive to drought,19390821
AtNF-YB1,"plant transcription factor, nuclear factor Y family protein",,2,AT2G38880,-,-,-,"Nelson et al., 2007",Plant nuclear factor Y (NF-Y) B subunits confer drought tolerance and lead to improved corn yields on water-limited acres,increased expression level: improved performance under drought conditions,17923671
FHY3,"FAR-RED ELONGATED HYPOCOTYL3, key positive transcription factors in the phytochrome A pathway",,3,AT3G22170,-,-,-,"Tang et al., 2013",FAR-RED ELONGATED HYPOCOTYL3 and FAR-RED IMPAIRED RESPONSE1 transcription factors integrate light and abscisic acid signaling in Arabidopsis,"fhy3 and far1 mutants have wider stomata, lose water faster, and are more sensitive to drought than the wild type.",23946351
FAR1,"FAR-RED IMPAIRED RESPONSE1, key positive transcription factors in the phytochrome A pathway",,4,AT4G15090,-,-,-,"Tang et al., 2013",FAR-RED ELONGATED HYPOCOTYL3 and FAR-RED IMPAIRED RESPONSE1 transcription factors integrate light and abscisic acid signaling in Arabidopsis,"fhy3 and far1 mutants have wider stomata, lose water faster, and are more sensitive to drought than the wild type.",23946351
HSFA1b,Heat shock transcription factor,,5,AT5G16820,-,-,-,"Bechtold et al., 2013","Arabidopsis HEAT SHOCK TRANSCRIPTION FACTORA1b overexpression enhances water productivity, resistance to drought, and infection",increased HSFA1b expression showed increased water productivity and harvest index under water-replete and water-limiting conditions,23828547
AGO1,Argonaute1,,1,AT1G48410,-,-,-,"Li et al., 2012",Transcriptional regulation of Arabidopsis MIR168a and argonaute1 homeostasis in abscisic acid and abiotic stress responses,loss-of-function: enhanced drought tolerance,22247272
