Gene symbol,Gene name,Synonyms,Chromosome,TAIR Identifier,TAIR Accession,NCBI Identifier,UniProt,Reference,Reference_title,Description,PMID
AtYAK1,YAK1-like protein 1,MEE13.9,5,AT5G35980,,833590,Q8RWH3,"Kim, D., Ntui, V. O., & Xiong, L. (2016).  ",Arabidopsis YAK 1 regulates abscisic acid response and drought resistance.,"AtYak1 knockout mutant plants were hyposensitive to ABA inhibition of seed germination, cotyledon greening, seedling growth, and stomatal movement. atyak1-1 mutant plants display reduced drought stress resistance, as evidenced by water loss rate and survival rate. AtYak1 plays a role as a positive regulator in ABA-mediated drought response in Arabidopsis.",27264339
AtHSFA6b,heat shock transcription factor A6B,-,3,AT3G22830,,821854, Q9LUH8,"Huang, Ya-Chen, et al. 2016",The heat stress factor HSFA6b connects ABA signaling and ABA-mediated heat responses.,"HSFA6b Overexpression Conferred Drought and Salt Tolerance. HSFA6b, a Nuclear Factor, Responds to ABA Signaling via the AREB/ABF-ABRE Regulon. HSFA6b, a Positive Regulator, Is Involved in ABA-Mediated Drought, Salt, and Thermotolerance.",27493213
AtEDT1/HDG11,ENHANCED DROUGHT TOLERANCE1/HOMEODOMAIN GLABROUS11,"Homeobox-leucine zipper protein, T9L24.43",1,AT1G73360,2206880,843671,Q9FX31 ,"Yu, Lin‐Hui, et al. 2016",Arabidopsis EDT 1/HDG 11 improves drought and salt tolerance in cotton and poplar and increases cotton yield in the field.,Transcription factor which acts as positive regulator of drought stress tolerance. Overexpression of AtHDG11 in cotton enhances drought tolerance in laboratory condition. AtHDG11 enhances tolerance to salinity stress in cotton. Reduced leaf stomatal density and increased water-use efficiency in AtHDG11-expressing cotton.,25879154
AtPED2,Peroxisome defective 2,"ATPEX14, peroxin 14, Peroxisomal membrane protein",5,AT5G62810,2170688,836402,Q9FXT6 ,"Shi, H., Ye, T., Yang, F., & Chan, Z. (2015). ",Arabidopsis PED2 positively modulates plant drought stress resistance.,"AtPED2 plays a positive role in drought resistance, through modulation of stress-responsive genes expression, ROS metabolism, and metabolic homeostasis. Multiple carbon metabolites including amino acids, organic acids, sugars, sugar alcohols, and aromatic amines were also positively regulated by AtPED2.",25588806
AtTGA4 ,TGACG motif-binding factor 4,"OBF4, OCS ELEMENT BINDING FACTOR 4, OCTOPINE SYNTHASE ELEMENT-BINDING PROTEIN",5,AT5G10030,2184078,830866,Q24JJ3,"Zhong, Li, et al. 2015","AtTGA4, a bZIP transcription factor, confers drought resistance by enhancing nitrate transport and assimilation in Arabidopsis thaliana.",Overexpression of AtTGA4 improved drought resistance in transgenic Arabidopsis. Higher levels of nitrogen transport and assimilation activity contributed to enhanced drought resistance in transgenic AtTGA4 plants.,25596127
AtMYB96,MYB DOMAIN PROTEIN 96,MYBCOV1,5,AT5G62470,2154119,836367,Q24JK1,"Lee, Saet Buyl, et al. 2014",Overexpression of Arabidopsis MYB96 confers drought resistance in Camelina sativa via cuticular wax accumulation.,Transgenic plants overexpressing Arabidopsis MYB96 exhibited normal growth and development and enhanced tolerance to drought. Deposition of epicuticular wax crystals and total wax loads increased significantly on the surfaces of transgenic leaves compared with that of non-transgenic plants. Encodes a R2R3 type Myb transcription factor whose expression is strongly induced by abscisic acid. Mediates abscisic acid signaling during drought stress response. Promotes seed fatty acid accumulation.,24880908
AtLRK10L1,Leaf rust 10 disease-resistance locus receptor-like protein kinase 1,Serine/Threonine kinase family catalytic domain protein,1,AT1G18390,2014154,838420,P0C5E2,"Lim, Chae Woo, et al. 2015","The AtLRK10L1. 2, Arabidopsis ortholog of wheat LRK10, is involved in ABA-mediated signaling and drought resistance.","The loss-of-function mutants of the Arabidopsis LRK10 gene shows ABA-insensitive and drought stress-sensitive phenotypes, suggesting that LRK10L1.2 is positively involved in ABA signaling.",25533478
NTL4,NAC WITH TRANSMEMBRANE MOTIF 1-LIKE 4,"AIF, ANAC053, ANTHER INDEHISCENCE FACTOR, NAC053",3,AT3G10500,2075815,820214,Q949N0 ,"Lee, Sangmin, et al. 2012",A NAC transcription factor NTL4 promotes reactive oxygen species production during drought‐induced leaf senescence in Arabidopsis.,"a drought-responsive NAC transcription factor NTL4 promotes ROS production by binding directly to the promoters of genes encoding ROS biosynthetic enzymes during drought-induced leaf senescence. ROS levels were reduced in NTL4-deficient ntl4 mutants, which exhibited delayed leaf senescence and enhanced drought resistance.",22313226
YUC 7,flavin monooxygenase gene YUCCA7, Probable indole-3-pyruvate monooxygenase YUCCA7,2,AT2G33230,2046545,817885,O49312 ,"Lee, Minyoung, et al. 2012",Activation of a flavin monooxygenase gene YUCCA7 enhances drought resistance in Arabidopsis.,"Encodes a flavin monooxygenase gene which belongs to the tryptophan-dependent auxin biosynthetic pathway and enhances drought resistance. The YUC7 gene was induced by drought, primarily in the roots, in an abscisic acid (ABA)-dependent manner. ",22109847
AtABCG36,ATP-BINDING CASSETTE G36,"ATPDR8, PEN3, PENETRATION 3, PLEIOTROPIC DRUG RESISTANCE 8",1,AT1G59870,2025931,842281,Q9XIE2,"Kim, Do‐Young, et al. 2010",Overexpression of AtABCG36 improves drought and salt stress resistance in Arabidopsis., AtABCG36-overexpressing plants were more resistant to drought and salt stress and grew to higher shoot fresh weight (FW) than the wild-type. AtABCG36 contributes to drought and salt resistance in Arabidopsis by a mechanism that includes reduction of sodium content in plants.,20088904
AtOCP3,overexpressor of cationic peroxidase 3,-,5,AT5G11270,2148012,830997, Q8H0V5 ,"Ramírez, Vicente, et al. 2009",Drought tolerance in Arabidopsis is controlled by the OCP3 disease resistance regulator.,The Arabidopsis loss-of-function ocp3 mutant exhibits both drought resistance and enhanced disease resistance to necrotrophic fungal pathogens. Loss of ABA biosynthesis and perception suppresses all major aspects of drought resistance in ocp3 plants. OCP3 is a negative regulator in a specific branch of the ABA-mediated drought-response network controlling stomatal movement.,19175769
AtPYL5,PYRABACTIN RESISTANCE 1-LIKE 5,"RCAR8, REGULATORY COMPONENT OF ABA RECEPTOR 8",5,AT5G05440,2153549,830427,A0A5S9Y1M7 ,"Santiago, Julia, et al. 2009",Modulation of drought resistance by the abscisic acid receptor PYL5 through inhibition of clade A PP2Cs.,"PYL5 over-expression led to a globally enhanced response to ABA. PYL5 inhibited HAB1, ABI1 and ABI2 phosphatase activity in an ABA-dependent manner. Enhanced resistance to drought can be obtained through PYL5-mediated inhibition of clade A PP2Cs.",19624469
AtHK1,Histidine Kinase 1,-,2,AT2G17820,2827836,816291,Q9SXL4,"Wohlbach, D. J., Quirino, B. F., & Sussman, M. R. (2008). ",Analysis of the Arabidopsis histidine kinase ATHK1 reveals a connection between vegetative osmotic stress sensing and seed maturation. ,"Overexpression of ATHK1 results in increased water stress tolerance, our observations suggest a new top-down route to increasing drought resistance via receptor-mediated increases in sensing water status. athk1 null mutants showed significantly more sensitivity to drought. Overexpression of ATHK1 increased tolerance to drought, osmotic, and salinity stresses. Positive regulator of drought and salt stress responses, and abscisic acid (ABA) signaling. Confers drought tolerance, probably by regulating levels of ABA accumulation. ",18441212
AtSDIR1,E3 ligase salt-and drought-induced RING-finger 1,-,3,AT3G55530,2100021,824718, Q9M2S6,"Zhang, Yi-yue, et al. 2008",Arabidopsis SDIR1 enhances drought tolerance in crop plants. Arabidopsis SDIR1 gene plays a positive role in ABA signaling and promotes the ABA-mediated drought tolerant phenotype when overexpressed in Arabidopsis,SDIR1-overexpressing Arabidopsis plants exhibit improved tolerance to drought. Ectopic expression of SDIR1 in both tobacco and rice plants conferred improved drought tolerance ability. These results suggest that SDIR1 can function as a drought-tolerance gene in both dicotyledons and monocotyledons.,18685183
