	Arabidopsis_thaliana	Avena_sativa	Brachypodium_distachyon	Hordeum_vulgare	Oryza_sativa	Sorghum_bicolor	Triticum_aestivum	Triticum_turgidum	Zea_mays
'0	53.0	35.1	40.0	42.3	43.2	39.3	24.4	27.8	40.5
'1	27.9	3.5	38.5	37.8	35.8	38.4	12.9	16.6	29.3
'2	11.9	7.2	13.3	11.2	12.9	14.0	10.4	33.0	16.1
'3	3.6	30.5	4.1	3.6	3.8	4.2	28.0	5.5	6.4
'4	1.6	3.3	1.6	1.6	1.6	1.6	3.5	7.6	3.0
'5	0.7	3.6	0.9	0.9	0.8	0.8	3.9	2.2	1.6
'6	0.4	7.1	0.4	0.5	0.4	0.5	6.6	1.9	1.0
'7	0.2	1.3	0.2	0.3	0.3	0.3	1.5	0.9	0.6
'8	0.1	1.2	0.1	0.3	0.2	0.2	1.4	0.8	0.5
'9	0.1	1.6	0.2	0.2	0.2	0.1	1.5	0.6	0.3
'10	0.1	0.7	0.1	0.2	0.1	0.1	0.7	0.4	0.2
11-15	0.3	2.2	0.3	0.4	0.3	0.3	2.2	1.1	0.4
16-20	0.1	0.9	0.1	0.2	0.2	0.1	0.9	0.6	0.1
21-50	0.1	1.4	0.1	0.3	0.1	0.1	1.7	0.8	0.1
51-100	0.0	0.3	0.0	0.1	0.0	0.0	0.3	0.1	0.0
101-150	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0
'1	7598	952	10476	10293	9757	10451	3512	4532	7969
'2	6470	3918	7262	6098	7034	7630	5656	17940	8792
'3	2904	24918	3330	2964	3123	3396	22881	4506	5193
'4	1772	3552	1712	1716	1712	1756	3800	8256	3224
'5	940	4885	1165	1160	1150	1030	5265	3000	2150
'6	582	11610	630	888	702	858	10734	3096	1584
'7	322	2513	448	651	658	546	2919	1722	1057
'8	280	2536	296	656	384	360	3080	1672	1024
'9	225	3906	387	459	423	315	3771	1386	621
'10	150	1850	320	480	330	290	1780	1140	610
11-15	852	7438	1127	1523	1051	1157	7597	3907	1444
16-20	395	4309	522	951	827	537	4419	2725	660
21-50	1128	11964	1176	2576	706	945	13885	6938	777
51-100	478	5430	546	1370	177	64	5973	2600	365
101-150	415	2639	0	509	0	148	1318	404	445
151-200	0	2044	0	369	0	0	1212	0	0
201-500	0	5242	0	965	0	0	229	0	384
501-1000	0	527	0	727	0	0	0	0	0
'1001+	0	1646	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	27.6	0.9	30.5	29.3	27.3	30.6	3.4	6.8	20.0
'2	23.5	3.7	21.2	17.4	19.7	22.4	5.5	27.0	22.1
'3	10.5	23.4	9.7	8.4	8.7	10.0	22.3	6.8	13.1
'4	6.4	3.3	5.0	4.9	4.8	5.1	3.7	12.4	8.1
'5	3.4	4.6	3.4	3.3	3.2	3.0	5.1	4.5	5.4
'6	2.1	10.9	1.8	2.5	2.0	2.5	10.4	4.7	4.0
'7	1.2	2.4	1.3	1.9	1.8	1.6	2.8	2.6	2.7
'8	1.0	2.4	0.9	1.9	1.1	1.1	3.0	2.5	2.6
'9	0.8	3.7	1.1	1.3	1.2	0.9	3.7	2.1	1.6
'10	0.5	1.7	0.9	1.4	0.9	0.8	1.7	1.7	1.5
11-15	3.1	7.0	3.3	4.3	2.9	3.4	7.4	5.9	3.6
16-20	1.4	4.0	1.5	2.7	2.3	1.6	4.3	4.1	1.7
